students file: ../12000_students/w_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
835352929_835352905 91
1640109957_1640104233 88
1640104233_1640104237 88
1640110025_1640109957 87
7231742797_5667358719 86
6808322566_6808322562 85
1649972070_1510920478 82
1649972041_1640109950 81
1640109950_1640109952 81
7218580514_1640118163 81
1649972349_1649972459 79
1649972016_1533476090 79
1649972459_1533467002 79
7231742789_7231742797 79
6808309461_5664033045 79
552449847_1649972124 77
6779375099_835353029 77
835353018_552450457 77
1510920362_1510920511 77
7231742789_1649972070 77
6766624209_1568670974 77
1640109952_1640118156 75
1640104237_1649972349 73
1650036064_1650036363 73
1640118252_1658501579 72
1533476118_1649972016 71
6789545859_1640110041 71
1640110041_1640109938 71
1649972225_7218580514 70
1640118156_1640118197 69
1640118120_1510920467 69
1640110022_1640118234 69
1649972061_5667387940 69
1658501588_3203441285 68
1658513408_1650035996 66
1640104234_1640104235 65
1640104235_1640104237 65
1649972260_6808154773 65
1649972002_6808322562 65
1640118200_1640118266 64
1640110023_1649972041 63
1510920467_1510920362 63
835352970_1640118120 59
1649972323_1649972266 59
1640109938_1649972061 59
1650035927_1650036169 58
1650036169_1650036344 58
1650036344_6808309477 58
1510920388_2155232275 58
1649972097_1640110025 57
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 18944
--------TIME--------
10:39:08.388018
