students file: ../1200_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1640104237_1649972349 18
1649972349_1649972459 18
1649972459_1533467002 18
1533469125_1533468569 15
1649972419_4455406004 13
835352970_1640118120 12
6808322562_1649972351 12
1649972351_1649972419 12
1658513408_1650035996 11
835352929_835352905 11
7231742797_5667358719 11
552449847_1533467002 11
1533468569_6808154773 11
1650036064_1650036363 11
1650035996_1640104238 10
1640104238_1640104234 10
1640104234_1640104235 10
1640104235_1640104237 10
1649972016_1533476090 9
1533476090_4188372130 9
1533467002_6766624213 9
6766624213_1533469125 9
1640104233_1640109957 9
1658501588_3203441285 9
1640110025_1640109957 8
1640104233_1640104237 8
1649972124_6779375094 8
7231742789_7231742797 8
552450801_4188372224 8
6779375096_835352929 8
835352905_1640118169 8
1640118169_835352970 8
6808309480_6808309481 8
4852906091_7436457856 8
5669704974_5669704981 7
5669704981_1640118264 7
1640118264_1640118258 7
1640118258_1640118173 7
1640118173_1640110009 7
1640110009_1640110013 7
1640110013_1640109948 7
1640109948_1640109994 7
181657835_1649972097 7
1649972097_1640110025 7
1640109994_1658513391 7
1658513391_7229906418 7
7229906418_1658513375 7
1640109957_1640104233 7
1658513375_1658513408 7
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1903
--------TIME--------
0:32:53.741523
