students file: ../1200_students/r_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1649972459_1533467002 27
552449847_1533467002 22
1640104237_1649972349 21
1649972349_1649972459 20
7231742797_5667358719 20
1649972016_1533476090 16
1533476090_4188372130 16
1640110025_1640109957 15
1650035939_1640109980 14
552450062_6766624209 14
6766624209_1568670974 14
1568670974_552449847 14
1650036064_1650036363 14
1640104233_1640109957 14
1658501588_3203441285 13
2155232272_2155232268 13
1640109968_1650035939 12
1640104233_1640104237 12
1649972097_1640110025 11
1658513408_1650035996 11
1640109957_1640104233 11
1640118156_1640118197 11
1640118197_1533476114 11
1640118252_1658501579 11
7231742819_5667358719 11
1640109980_181657835 10
1640104238_1640104234 10
1640104234_1640104235 10
1640109952_1640118156 10
1533476114_1649972206 10
1649972206_1533476118 10
1533476118_1649972016 10
1658501579_1650036064 10
6808322566_1649972002 9
181657835_1649972097 9
1640104235_1640104237 9
1640110023_1649972041 9
1649972041_1640109950 9
1640109950_1640109952 9
1649972124_6779375094 9
552450801_4188372224 9
6779375096_835352929 9
835352929_835352905 9
1649972260_6808154773 9
1649972419_4455406004 9
1650035927_1650036169 9
1650036169_1650036344 9
1650036344_6808309477 9
6808309477_7162321368 9
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1764
--------TIME--------
1:26:50.177891
