students file: ../1200_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1640104237_1649972349 17
1649972349_1649972459 17
1649972459_1533467002 17
552449847_1533467002 15
1649972419_4455406004 14
1533469125_1533468569 14
835352970_1640118120 13
1649972016_1533476090 11
1533476090_4188372130 11
7231742797_5667358719 11
552450062_6766624209 11
6766624209_1568670974 11
1568670974_552449847 11
1533468569_6808154773 11
1650036064_1650036363 11
1658501588_3203441285 11
1658513408_1650035996 10
1640104233_1640104237 10
835352929_835352905 10
6808322562_1649972351 10
1649972351_1649972419 10
1650035996_1640104238 9
1640104238_1640104234 9
1640104234_1640104235 9
1640109957_1640104233 9
1640104235_1640104237 9
5667387940_5667387938 9
1640104233_1640109957 9
1640110025_1640109957 8
1649972260_6808154773 8
552449847_1649972124 8
1640109950_1640109952 8
1640110044_1640110022 8
1640118252_1658501579 8
6808322566_1649972002 8
1658501579_1650036064 8
4852906091_7436457856 8
3203441285_3203441289 8
181657835_1649972097 7
1649972097_1640110025 7
1640109952_1640118156 7
1640118156_1640118197 7
1640118197_1533476114 7
1533476114_1649972206 7
1649972206_1533476118 7
1533476118_1649972016 7
1640109968_1650035939 7
4188372130_552450062 7
1533467002_552449847 7
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1903
--------TIME--------
0:32:33.086288
