students file: ../1200_students/r_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1640104237_1649972349 26
1649972349_1649972459 26
1649972459_1533467002 26
552449847_1533467002 23
7231742797_5667358719 20
1649972016_1533476090 19
1533476090_4188372130 19
6766624209_1568670974 18
552450062_6766624209 17
1568670974_552449847 17
1640110025_1640109957 15
1640118156_1640118197 15
1640109952_1640118156 14
1640118197_1533476114 14
1533476114_1649972206 14
1649972206_1533476118 14
1533476118_1649972016 14
1640104233_1640109957 14
1640109957_1640104233 13
1649972419_4455406004 13
1650036064_1650036363 13
1658501588_3203441285 13
2155232272_2155232268 13
1658513408_1650035996 12
1640104238_1640104234 12
1649972097_1640110025 12
1640104234_1640104235 12
1640104233_1640104237 12
1640118252_1658501579 12
1650035996_1640104238 11
1640104235_1640104237 11
1640109971_1640109952 11
7231742788_7231742789 11
1649972351_1649972419 11
7231742819_5667358719 11
7231742789_7231742797 11
1650035939_1640109980 10
1649972124_6779375094 10
552450801_4188372224 10
6779375096_835352929 10
835352929_835352905 10
1649972260_6808154773 10
6808322562_1649972351 10
3203441285_3203441289 10
1533468569_6808154773 10
5669704981_1640118264 9
1640118264_1640118258 9
1640118258_1640118173 9
1640118173_1640110009 9
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1764
--------TIME--------
1:26:08.587240
