students file: ../1200_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1640104237_1649972349 25
1649972459_1533467002 25
1649972349_1649972459 24
552449847_1533467002 17
1533469125_1533468569 16
835352970_1640118120 15
1658513408_1650035996 13
1650035996_1640104238 13
1640104238_1640104234 13
1640104234_1640104235 13
1640104235_1640104237 13
835352929_835352905 13
1649972327_1640110044 13
6808322562_1649972351 12
1649972351_1649972419 12
1649972419_4455406004 12
1640110025_1640109957 11
1640109957_1640104233 11
1649972016_1533476090 11
1533476090_4188372130 11
7231742797_5667358719 11
552450062_6766624209 11
6766624209_1568670974 11
1568670974_552449847 11
1640110044_1640110022 11
1533468569_6808154773 11
1650036064_1650036363 11
1533467002_6766624213 11
6766624213_1533469125 11
1649972097_1640110025 10
1640104233_1640104237 10
1649972124_6779375094 10
552450801_4188372224 10
6779375096_835352929 10
835352905_1640118169 10
1640118169_835352970 10
6808309480_6808309481 10
1649972061_5667387940 10
5667387940_5667387938 10
1640104233_1640109957 10
1658501588_3203441285 10
3203441285_3203441289 10
1650035939_1640109980 9
1640109980_181657835 9
181657835_1649972097 9
1510920511_6808309480 9
2155232272_2155232268 9
1640118156_1640118197 8
1640118197_1533476114 8
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1903
--------TIME--------
0:26:50.462316
