students file: ../1200_students/t_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1649972459_1533467002 31
552449847_1533467002 29
1533467002_6779375098 29
6766624209_1568670974 24
1649972349_1649972459 20
1640104237_1649972349 19
1649972016_1533476090 16
1533476090_4188372130 16
7231742797_5667358719 16
1649972419_4455406004 13
552450062_6766624209 12
1568670974_552449847 12
1650036064_1650036363 12
1640109952_1640118156 11
1640118156_1640118197 11
1640118197_1533476114 11
1640110025_1640109957 11
1640118264_1640118258 10
1533476114_1649972206 10
1533476118_1649972016 10
1640109957_1640104233 10
1640104233_1640104237 10
6808322566_1649972002 9
5669704981_1640118264 9
1649972206_1533476118 9
1640104235_1640104237 9
835352929_835352905 9
1649972260_6808154773 9
7231742819_5667358719 9
1658501843_2155232272 9
2155232272_2155232268 9
1649971995_6808322566 8
1640109971_1640109952 8
1658513408_1650035996 8
1640110029_1640110036 8
181657835_1649972097 8
1649972097_1640110025 8
1640118252_1658501579 8
1649972301_835352961 8
7231742788_7231742789 8
6808322562_1649972351 8
1649972351_1649972419 8
7231742789_7231742797 8
1649972323_1649972266 7
1649972266_1649971995 7
5669704974_5669704981 7
1650035996_1640104238 7
4188372130_552450062 7
1640104238_1640104234 7
1640104234_1640104235 7
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1804
--------TIME--------
1:01:20.509948
