students file: ../1200_students/t_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
552449847_1533467002 39
1640104237_1649972349 32
1649972349_1649972459 32
1649972459_1533467002 31
1649972016_1533476090 30
1533476090_4188372130 30
6766624209_1568670974 30
1533467002_6779375098 29
1640109952_1640118156 22
1640118156_1640118197 22
1640118197_1533476114 22
1533476114_1649972206 22
1649972206_1533476118 22
1533476118_1649972016 22
1649972351_1649972419 18
1649972419_4455406004 18
2155232272_2155232268 18
552450062_6766624209 17
1568670974_552449847 17
6808322562_1649972351 17
7231742797_5667358719 16
1649972097_1640110025 15
1640110025_1640109957 15
1640109957_1640104233 15
1640104233_1640104237 15
1649972124_6779375094 15
552450801_4188372224 15
6779375096_835352929 15
835352929_835352905 15
1640109971_1640109952 13
1658513408_1650035996 12
1650035996_1640104238 12
1640104238_1640104234 12
1640104234_1640104235 12
1640104235_1640104237 12
835352961_552449847 12
1650036064_1650036363 12
1640110044_1640110022 11
1640110022_1640118234 11
1649972323_1649972266 11
1649971995_6808322566 11
1640110023_1649972041 11
1649972041_1640109950 11
1640109950_1640109952 11
1533467002_552449847 11
552449847_1649972124 11
835352905_1640118169 11
1640118169_835352970 11
835352970_1640118120 11
1640118120_1510920467 11
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1804
--------TIME--------
0:49:18.183579
