students file: ../1200_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1649972459_1533467002 16
1640104237_1649972349 15
1649972349_1649972459 15
1649972419_4455406004 13
1533469125_1533468569 13
552449847_1533467002 12
7231742797_5667358719 11
835352970_1640118120 11
1650036064_1650036363 11
1533468569_6808154773 10
7218580514_1640118163 9
5667387940_5667387938 9
1533467002_6766624213 9
1640104233_1640109957 9
6766624213_1533469125 9
1658501588_3203441285 9
1640110025_1640109957 8
1640104233_1640104237 8
1649972016_1533476090 8
1533476090_4188372130 8
1649972260_6808154773 8
835352929_835352905 8
6766624209_1568670974 8
1640110044_1640110022 8
1510920511_6808309480 8
6808322566_1649972002 8
3203441285_3203441289 8
1640109957_1640104233 7
1658513408_1650035996 7
552450801_4188372224 7
1650035996_1640104238 7
1640104238_1640104234 7
1640104234_1640104235 7
1640104235_1640104237 7
552450062_6766624209 7
1649972327_1640110044 7
4188372090_4188372100 7
6808322562_1649972351 7
1649972351_1649972419 7
1640118163_1640118245 7
4852906091_7436457856 7
1649972097_1640110025 6
1640109952_1640118156 6
1640118156_1640118197 6
1640118197_1533476114 6
1533476114_1649972206 6
1649972206_1533476118 6
1533476118_1649972016 6
1640109950_1640109952 6
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1903
--------TIME--------
0:37:15.641325
