students file: ../1200_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 29
1640104237_1649972349 27
1649972349_1649972459 27
1649972459_1533467002 27
552449847_1533467002 18
1649972419_4455406004 15
1533469125_1533468569 14
835352970_1640118120 13
6808322562_1649972351 13
1649972351_1649972419 13
1640104235_1640104237 12
1658513408_1650035996 11
1650035996_1640104238 11
1640104238_1640104234 11
1640104234_1640104235 11
1640109957_1640104233 11
7231742797_5667358719 11
1533468569_6808154773 11
1650036064_1650036363 11
1640110025_1640109957 10
1640104233_1640104237 10
6766624209_1568670974 10
5667387940_5667387938 10
1649972016_1533476090 9
1640109968_1650035939 9
1533476090_4188372130 9
1650035939_1640109980 9
1640109980_181657835 9
181657835_1649972097 9
1649972097_1640110025 9
835352929_835352905 9
7231742788_7231742789 9
7231742789_7231742797 9
1640110044_1640110022 9
552450062_6766624209 9
1640118252_1658501579 9
1568670974_552449847 9
1658501579_1650036064 9
1640104233_1640109957 9
1658501588_3203441285 9
552450801_4188372224 8
1533467002_552449847 8
552449847_1649972124 8
1649972327_1640110044 8
1640110048_1640104237 8
1649972260_6808154773 8
1640109948_1640110015 8
1640110015_1640110034 8
1640110034_1640109982 8
1640109982_1649972327 8
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1903
--------TIME--------
0:26:40.455747
