students file: ../1200_students/r_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1649972459_1533467002 34
1533467002_6779375098 29
552449847_1533467002 26
1640104237_1649972349 25
1649972349_1649972459 25
7231742797_5667358719 20
6766624209_1568670974 19
1649972016_1533476090 17
1533476090_4188372130 17
1640110025_1640109957 15
1640104233_1640104237 14
1650036064_1650036363 14
1640104233_1640109957 14
1649972097_1640110025 13
1640109957_1640104233 13
552450062_6766624209 12
1568670974_552449847 12
1649972419_4455406004 12
1658501588_3203441285 12
1640118252_1658501579 11
1649972260_6808154773 11
7231742819_5667358719 11
1650035939_1640109980 10
1640109952_1640118156 10
1640118156_1640118197 10
1640118197_1533476114 10
1533476114_1649972206 10
1533476118_1649972016 10
1649972351_1649972419 10
181657835_1649972097 9
1658513408_1650035996 9
1650035996_1640104238 9
1640104238_1640104234 9
1640104234_1640104235 9
1640104235_1640104237 9
552450801_4188372224 9
835352929_835352905 9
1640104237_1649972260 9
6808322562_1649972351 9
1650035927_1650036169 9
1650036169_1650036344 9
1650036344_6808309477 9
1510920249_552449851 9
1533469125_1533468569 9
2155232272_2155232268 9
6808322566_1649972002 8
1640109968_1650035939 8
1640109980_181657835 8
1640110023_1649972041 8
1649972041_1640109950 8
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1764
--------TIME--------
1:54:31.903810
