students file: ../600_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 22
552449847_1533467002 14
1649972459_1533467002 8
1649972016_1533476090 8
1533476090_4188372130 8
552450062_6766624209 8
6766624209_1568670974 8
1568670974_552449847 8
835352929_835352905 8
1640104237_1649972349 7
1649972349_1649972459 7
4188372130_552450062 7
1649972260_6808154773 7
1650036064_1650036363 7
1640109952_1640118156 6
1640118197_1533476114 6
1533476114_1649972206 6
1649972206_1533476118 6
1640118156_1640118197 6
1533476118_1649972016 6
1640118182_1640118209 5
1640118209_1640118178 5
1640118178_1649972065 5
1649972065_1640118208 5
1658513408_1650035996 5
1640104234_1640104235 5
1640104235_1640104237 5
1649972126_1649972166 5
1649972124_6779375094 5
835352948_1649972301 5
6779375094_552450801 5
552450801_4188372224 5
4188372224_6779375096 5
1649972301_835352961 5
6779375096_835352929 5
1640118252_1658501579 5
835352961_552449847 5
1649972327_1640110044 5
835352905_1640118169 5
1640118169_835352970 5
835352970_1640118120 5
7218580514_1640118163 5
2155232272_2155232268 5
6808309463_181627258 5
1640118159_3203441294 5
1658501588_3203441285 5
181635151_1650036328 4
1650036280_1739926764 4
1739926764_7229906420 4
7229906420_1658513408 4
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 938
--------TIME--------
0:38:15.776350
