students file: ../600_students/f_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 17
1649972016_1533476090 9
1533476090_4188372130 9
1640104237_1649972349 9
1649972349_1649972459 9
552450062_6766624209 8
6766624209_1568670974 8
1649972459_1533467002 8
1568670974_552449847 8
552449847_1533467002 8
6808309463_181627258 8
4188372130_552450062 7
1640110025_1640109957 7
1649972260_6808154773 6
1533468569_6808154773 6
1640109952_1640118156 5
1640118156_1640118197 5
1640118197_1533476114 5
1533476114_1649972206 5
1649972206_1533476118 5
1533476118_1649972016 5
1640109980_181657835 5
181657835_1649972097 5
1649972097_1640110025 5
1640109957_1640104233 5
1640104233_1640104237 5
1640110010_1640109957 5
1533469125_1533468569 5
1640110023_1649972041 4
1649972041_1640109950 4
1640109950_1640109952 4
1658513408_1650035996 4
1650035996_1640104238 4
1658502014_6779375099 4
6779375099_835353029 4
1650035939_1640109980 4
835353029_835353018 4
835353018_552450457 4
552450457_7231742788 4
1649972124_6779375094 4
1649972327_1640110044 4
7231742788_7231742789 4
6779375094_552450801 4
552450801_4188372224 4
7231742789_1649972070 4
4188372224_6779375096 4
1640110044_1640110022 4
6779375096_835352929 4
835352929_835352905 4
1649972070_1510920478 4
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 401
--------TIME--------
0:11:23.977198
