students file: ../600_students/w_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 17
1649972459_1533467002 8
552449847_1533467002 8
1649972016_1533476090 7
1533476090_4188372130 7
4188372130_552450062 7
1640104237_1649972349 7
1649972349_1649972459 7
552450062_6766624209 7
6766624209_1568670974 7
1568670974_552449847 7
1640118156_1640118197 6
1649972402_5667387938 6
1640104233_1640109957 6
1533468569_6808154773 6
1640118178_1649972065 5
1640109952_1640118156 5
1640118197_1533476114 5
1658513408_1650035996 5
1533476114_1649972206 5
1649972206_1533476118 5
1533476118_1649972016 5
1650035996_1640104238 5
1640110025_1640109957 5
1650036169_1650036344 5
835352929_835352905 5
1640104238_1640104234 5
835352970_1640118120 5
1640104234_1640104235 5
1640104235_1640104237 5
7218580514_1640118163 5
6808309463_181627258 5
6808322566_1649972002 5
1533469125_1533468569 5
1640118182_1640118209 4
1649972222_1640110046 4
1640118209_1640118178 4
1640110023_1649972041 4
1649972065_1640118208 4
1649972041_1640109950 4
1640118208_1649972123 4
1649972123_1640118228 4
1640118228_1658519782 4
1640109950_1640109952 4
1658519782_4188372095 4
4188372095_1658501890 4
1640118208_1640118180 4
1640118180_1649972126 4
1649972097_1640110025 4
1649972126_1649972166 4
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 945
--------TIME--------
0:37:25.541177
