students file: ../600_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 19
552449847_1533467002 9
1649972260_6808154773 9
1640104237_1649972349 8
1649972349_1649972459 8
1649972459_1533467002 8
1650036064_1650036363 7
1658501588_3203441285 7
4188372130_552450062 6
1649972016_1533476090 6
1533476090_4188372130 6
552450062_6766624209 6
6766624209_1568670974 6
1568670974_552449847 6
3203441285_3203441289 6
1640118180_1649972126 5
1640109952_1640118156 5
1640118197_1533476114 5
1533476114_1649972206 5
1649972206_1533476118 5
1640118156_1640118197 5
1533476118_1649972016 5
7218580514_1640118163 5
1650036169_1650036344 5
2155232272_2155232268 5
1533469125_1533468569 5
6808309463_181627258 5
1533468569_6808154773 5
1650036344_1650036363 5
7231742810_7231742819 5
1640109937_1640118159 5
1640118159_3203441294 5
3203441294_1658501588 5
1640109948_1640109994 4
1658513391_7229906418 4
181657835_1649972097 4
1658513408_1650035996 4
1650035996_1640104238 4
1640118266_1640118200 4
1640104238_1640104234 4
1640104234_1640104235 4
1640104235_1640104237 4
1640118208_1640118180 4
1649972097_1640110025 4
1640109958_1640118197 4
1640110025_1640109957 4
1649972126_1649972166 4
1649972166_1510920319 4
1640109957_1640104233 4
1510920319_1650035927 4
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 938
--------TIME--------
0:30:48.561879
