students file: ../12000_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
7231742797_5667358719 88
835352929_835352905 82
1649972349_1649972459 79
1649972016_1533476090 79
1649972459_1533467002 79
7218580514_1640118163 79
6766624209_1568670974 77
1650036064_1650036363 76
1640104237_1649972349 73
1640104233_1640104237 67
1640109957_1640104233 64
1658501588_3203441285 64
1640110025_1640109957 63
552449847_1649972124 59
835352970_1640118120 59
7231742789_7231742797 59
1649972260_6808154773 58
6808322566_6808322562 58
1649972097_1640110025 57
1640118252_1658501579 57
1640109952_1640118156 55
1640118156_1640118197 55
1533476118_1649972016 55
7231742810_7231742819 55
1640110022_1640118234 55
1649972070_1510920478 55
6808309461_5664033045 55
1649972061_5667387940 55
6764767053_6808309463 55
5667387940_5667387938 55
1649972041_1640109950 54
1640109950_1640109952 54
4188372090_4188372100 54
1533476090_4188372130 53
6779375099_835353029 53
835353029_835353018 53
1640118120_1510920467 53
835353018_552450457 53
1510920467_1510920362 53
1510920362_1510920511 53
7231742789_1649972070 53
1658501579_1650036064 51
6789545859_1640110041 50
1640110041_1640109938 50
7231742788_7231742789 49
1649972351_1649972419 49
1649972419_4455406004 49
1640118208_1640118180 48
1640109938_1649972061 48
1640110023_1649972041 47
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 18665
--------TIME--------
16:37:09.961485
